title	role	info	content
Stationary Basics	instructor	setup	Station 1: Stationary Basics\n\n1.\tStandby\na.\tRight arch remains on dot\nb.\tAttention remains on director/instructor\n2.\tAttention\na.\t1 count move\nb.\tHeels together\nc.\tToes apart at 45-degree angle (fist in between arches should be good angle)\nd.\tKnees straight and unlocked\ne.\tHips centered above heels, hips rotated forward\nf.\tCore engaged\ng.\tElbows relaxed and bent slightly\nh.\tRelaxed fists at sides with thumbs pointing down\ni.\tShoulders back and relaxed\nj.\tChin up, eyes above the horizon (L check teaching technique)\nk.\tProud demeanor\nl.\tNot talking\nm.\tVocal in time “one”\nn.\tAttention with instrument should leave plenty of space between the instrument and player’s chest (except for certain sections) like hugging a yoga ball to maintain a proud, not collapsed, look\n3.\tBand-Set\na.\t1 count move\nb.\tCome to the attention position on count 1\nc.\tNo Cal Poly High Step\nd.\t“Band-Set” “1”\n4.\tParade Rest\na.\t1 count move\nb.\tHands clasped together at belt level (Left over right) (differs per instrument)\nc.\tLeft foot moves out to shoulder width (without picking up or dragging), right stays planted\nd.\tFeet stay at 45 degrees\ne.\tUpper body remains in attention position\nf.\tAttention remains on director/instructor\ng.\tVerbal\ni.\t“1”\n5.\tCalled Horns Up/Down\na.\t1 count move\nb.\tWithout instrument:\ni.\tHands snapped from attention position\nii.\tLeft hand falls over right fist, left knuckles aligned on top of right knuckles\niii.\tArms now form “triangle of power”\n1.\tElbows are not collapsed in or flayed out, instead they are slightly outside the body to form a nearly equilateral triangle\niv.\t\nc.\tWith instrument\ni.\tIndividual for section, jist:\n1.\tInstrument comes from attention position into “ready to play” position\nd.\tRest of body remains in attention position\ne.\tFor Horns down, reverse the Horns up command\n6.\tVisual Horns Up/Down\na.\t1 count move\nb.\tMove from horns up to horns down given the visual signals:\ni.\t“Dut Dut Dut”\nii.\tCut off “and Down”\niii.\tVerbals\n1.\tUp: “Horns Up”\n2.\tDown: “And Down”\n7.\tSlow Horns Up/Down\na.\tMove from horns up to horns down given the visual signals\ni.\tRaise and lower hands at uniform speed\nii.\tSpeed of instrument raising/lowering matches the speed of the director’s hands\n8.\tKick-Down-Up\na.\t3 Count move\nb.\tCount 1\ni.\tThe right foot kicks out to approximately a thirty-degree angle, knee is straight, foot remains at the same angle (toes not pointed or up)\nc.\tCount 2\ni.\tThe right foot is returned to the attention position\nii.\tThe player’s horn is brought to the “ready” position (Similar to the attention position for most sections)\nd.\tCount 3\ni.\tThe horn is brought to the horns up position\ne.\tVerbals\ni.\t“Kick-Down-Up”\n9.\tCarry Position\na.\tVaries from section to section, consult section leaders for latest information \n
Stationary Basics	instructor	script	This is your station 1 evaluation. Please relax and follow my commands. \n\n(Give a moderate tempo, 130-150 BPM)\nBand set\nParade rest\nBand set\nHorns Up\nHorns Down\nVisual Horns Up \nVisual Horns Down \nSlow horns up\nSlow horns down\nKick Down Up\n
Stationary Basics	evaluator	setup	
Stationary Basics	evaluator	script	
Stationary Basics, Part 2	instructor	setup	Station 2: Stationary Basics Pt. 2\n\n10.\tLeft Face\na.\t2 Count Move\nb.\tCount 1\ni.\tThe left toe is raised off the ground\nii.\tThe right heel is raised off the ground\niii.\tThe player is now balanced on their left heel and right toe\niv.\tThe player pivots 90 degrees to the left by pushing with their right toe\n1.\tThe knee may bend during this maneuver\nc.\tCount 2\ni.\tThe player brings the right foot forward to meet the left and is returned to the attention position\nd.\tThe upper body remains stable and in the attention position throughout this process by engaging the core\ni.\tPlayers may find it difficult to not swing their arms. Discourage this behavior by inviting players to grab their pockets or the hem of their shirts\ne.\tVerbal\ni.\t“1-2”\n11.\tRight Face\na.\t2 Count Move\nb.\tCount 1\ni.\tThe right toe is raised off the ground\nii.\tThe left heel is raised off the ground\niii.\tThe player is now balanced on their right heel and left toe\niv.\tThe player pivots 90 degrees to the right by pushing with their left toe\n1.\tThe knee may bend during this maneuver\nc.\tCount 2\ni.\tThe player brings the left foot forward to meet the right and is returned to the attention position\nd.\tThe upper body remains stable and in the attention position throughout this process by engaging the core\ne.\tVerbal\ni.\t“1-2”\n12.\tAbout Face\na.\t3 Count Move\nb.\tCount 1\ni.\tThe left foot is moved approximately 18 inches (slightly less than 8/5 step in front of the right foot, foot at a parallel angle to the right foot (step size will take some practice)\nii.\tRoll through the step so the right and left heels come off the ground such that the player is balancing on their platforms\n1.\tNOTE: Do NOT cross the right foot over the left in this count\nc.\tCount 2\ni.\tThe player pivots over their right shoulder by pushing with their left foot.\n1.\tNOTE: Encourage proper upper body form by reminding players to tighten their core and not swing their arms (see left and right face)\nd.\tCount 3\ni.\tThe left foot is brought forward to meet the right in the attention position\ne.\tVerbal\ni.\t“Len-Len-Len”\n13.\tMark Time \na.\tThe left heel is raised on the “and” of the previous beat\nb.\tThe left toe then leaves the ground and the foot moves to a zero-degree angle, straight ahead\nc.\tThe left heel then strikes the ground on count 1 and the right heel is raised and the right foot moves to be parallel to the left\nd.\tThe right heel strikes the ground on count 2 and the left heel is raised, but the platforms and toes do not leave the ground anymore, only heels and arch\ne.\tThis continues in a fluid motion for the duration of the move\nf.\tNOTE: The heel should be raised to approximately ankle bone height. Further, the move should be smooth, and the ankle bones should cross each other on the and of each beat. Be aware of swaying side to side or heavy heel strikes that make the player’s sound bumpy.\ng.\tVerbal:\ni.\t“And-1”\n14.\tHalting\na.\t2 Count move\nb.\tCount 1\ni.\tThe right foot is raised fully off the ground and planted back in the attention position\nc.\tCount 2\ni.\tThe left foot is raised fully off the ground and planted back in the attention position\nd.\tVerbal\ni.\t“Step and Close”\n15.\tSlow Turns\na.\tThese moves must also follow the mark time form\nb.\tVariable count move\nc.\tFor the given counts:\nd.\tMaintaining mark time form, rotate the body at a constant speed through the angle requested.\ne.\tExample: 4 count 90 degrees to the left\ni.\tCount 1\n1.\tInitiate turning motion by lifting full foot off the ground and replanting\nii.\tCount 2\n1.\tHit 45 degrees between start and end points\niii.\tCount 4\n1.\tReturned to attention position with body facing 45 degrees to the left of initial position \n
Stationary Basics, Part 2	instructor	script	This is your station 2 evaluation. Please relax and follow my commands.\n\n(Give a moderate tempo, 130-150 BPM)\nLeft Face\nRight Face\nAbout Face\nAbout Face\nMark time 16cts\nHalt\nSlow turn right 90Deg 4cts\nSlow turn left 90Deg 4cts\n
Stationary Basics, Part 2	evaluator	setup	
Stationary Basics, Part 2	evaluator	script	
Beginnings of Movement	instructor	setup	Station 3: Beginnings of Movement\n16.\tForward March\na.\tWe follow the “glide step” marching form\ni.\tThe feet remain low and close to the ground\nii.\tThe knees remain mostly unbent, however some bending is allowed for comfort and maintaining the form\niii.\tThe heel strikes on each downbeat\niv.\tAfter the heel strikes, the player roles through the foot slowly transitioning the weight from heel to toe such as that on the next downbeat, the player’s entire weight is resting on the toe\nv.\tThe size of each standard 8-5 step is 22.5” from arch to arch\n1.\tThis step remains consistent across the entire five-yard interval\nb.\tThe upper body remains in the attention position throughout the entire move (the goal is to keep the upper body free from sway and bounce that affects the player’s sound)\nc.\tNOTE: Encourage players to practice balancing on the toes/ball of one foot and the heel of another. This will encourage proper form.\nd.\tVerbal\ni.\t“And one”\n17.\tLeft Flank\na.\tEquate the left flank to a left hace, but while in motion\nb.\t2 Count Move\ni.\tCount 1\n1.\tThe right foot executes a full regular glide step  and the player’s weight is shifted to their platforms. The left foot begins to leave the ground as if for another normal forward step. No cheat steps!\n2.\t\nii.\tCount And of 1\n1.\tOn the and of one, the ankle bones come together with the left foot on the inside of the turn (the leg shouldn’t swing out)\n2.\tThe player pivots on their right platform ninety degrees to the left.\niii.\tCount 2\n1.\tOn the downbeat of count 2, the left heel strikes the ground in the first step of a forward march in the new direction.\n18.\tRight Flank\na.\tEquate the right flank to a right hace, but while in motion\nb.\t2 Count Move\ni.\tCount 1\n1.\tThe right foot executes a full regular glide step  and the player’s weight is shifted to their platforms. The left foot begins to leave the ground as if for another normal forward step.\n2.\t\nii.\tCount And of 1\n1.\tOn the and of one, the ankle bones come together with the left foot on the outside of the turn (the leg shouldn’t swing out).\n2.\tThe player pivots on their right platform ninety degrees to the right.\niii.\tCount 2\n1.\tOn the downbeat of count 2, the left heel strikes the ground in the first step of a forward march in the new direction.\nc.\tNOTE: It is common for players to “swing their left foot wide.” Discourage this behavior by having players pause on the and of count 1 with their ankles together.\n19.\tTo the Rear\na.\tEquate to the rear to an about face, but in motion\nb.\t2 Count Move\ni.\tCount 1\n1.\tThe right foot executes a full regular glide step  and the player’s weight is shifted to their platforms. The left heel begins to leave the ground as if for another normal forward step.\nii.\tCount And of 1\n1.\tThe player pivots on their platforms 180 degrees over their left shoulder. \niii.\tCount 2\n1.\tThe left foot is replanted adjusting to a full-size step beginning with the heel.\n2.\tThis initiates the next “forward march” maneuver\nc.\tNOTE: The ankle bones do NOT meet on the and of 1 of this move!\n20.\tHalting\na.\t2 Count Move\ni.\tCount 1\n1.\tThe right foot executes an adjusted roll step . This roll step follows normal form, but places the right foot in the attention position\nii.\tCount 2\n1.\tThe left foot executes a second adjusted roll step to meet the right foot and return to the attention position.\nb.\tNOTE: Players may have a tendency to sway forwards and backwards as their forward momentum is halted. Combat this by instructing players to engage their cores.\nc.\tVerbal\ni.\t“Step and Close”\n
Beginnings of Movement	instructor	script	This is your station 3 evaluation. Please relax and listen to my instructions. \n\n(Give a moderate tempo, 120-130 BPM)\nPART 1\nMark time 8\nForward march 8 \n(Repeat those instructions until I tell you to Halt)\nHalt\n\nPART 2\nForward March 8\nLeft flank \nForward March 8\nTo the rear\nForward March 8\nRight Flank\nForward March 8\nHalt\n\n
